Buchstabenhaeufigkeiten im Text
Titel: /home/nora/workspace/itsec/ITSicherheit/src/Aufgabe12/kafka-strafkolonie01.txt
Amount of Chars: 64784
char	total	percent
 	10263	0.15841874536922698
e	9165	0.14147011607804397
n	5343	0.08247406767102988
i	4194	0.06473820696468263
r	3772	0.0582242529019511
t	3045	0.04700234625833539
s	2818	0.043498394665349466
d	2704	0.041738700913805875
a	2674	0.04127562361076809
h	2455	0.037895159298592246
u	1819	0.028077920474191158
l	1649	0.02545381575697703
c	1557	0.02403371202766115
g	1453	0.022428377377130156
m	1219	0.018816374413435415
o	973	0.015019140528525562
,	967	0.014926525067918004
f	959	0.014803037787107927
b	813	0.01254939491232403
z	704	0.010866880711286737
w	692	0.010681649790071622
k	508	0.007841442331439862
.	477	0.007362929118300815
ü	355	0.005479748085947147
S	343	0.005294517164732033
v	251	0.003874413435416152
ß	247	0.0038126697950111137
ä	243	0.0037509261546060757
E	226	0.003488515682884663
p	219	0.003380464312175846
A	186	0.0028710792788342802
R	181	0.0027938997283279824
D	178	0.0027475919980242034
V	138	0.0021301555939738205
ö	135	0.002083847863670042
K	132	0.0020375401333662634
B	125	0.0019294887626574463
M	121	0.001867745122252408
H	118	0.0018214373919486293
G	116	0.0017905655717461101
;	111	0.0017133860212398123
O	108	0.0016670782909360335
I	85	0.0013120523586070635
W	83	0.0012811805384045443
Z	82	0.0012657446283032847
F	66	0.0010187700666831317
U	59	9.107186959743147E-4
L	56	8.64410965670536E-4
T	55	8.489750555692764E-4
N	53	8.181032353667573E-4
j	52	8.026673252654977E-4
–	45	6.946159545566807E-4
:	41	6.328723141516423E-4
?	40	6.174364040503828E-4
x	24	3.704618424302297E-4
!	23	3.550259323289701E-4
P	22	3.395900222277105E-4
J	15	2.3153865151889354E-4
‹	13	2.0066683131637441E-4
Ü	9	1.3892319091133614E-4
-	7	1.08051370708817E-4
Ä	4	6.174364040503828E-5
(	2	3.087182020251914E-5
