ALLE ZEICHEN OHNE EINSCHRÄNKUNG

Buchstabenhaeufigkeiten im Text
Titel: /home/nora/workspace/itsec/ITSicherheit/src/Aufgabe12/kafka-strafkolonie01.txt
Amount of Chars: 64784
char	total	percent
 	10263	0.15841874536922698
e	9165	0.14147011607804397
n	5343	0.08247406767102988
i	4194	0.06473820696468263
r	3772	0.0582242529019511
t	3045	0.04700234625833539
s	2818	0.043498394665349466
d	2704	0.041738700913805875
a	2674	0.04127562361076809
h	2455	0.037895159298592246
u	1819	0.028077920474191158
l	1649	0.02545381575697703
c	1557	0.02403371202766115
g	1453	0.022428377377130156
m	1219	0.018816374413435415
o	973	0.015019140528525562
,	967	0.014926525067918004
f	959	0.014803037787107927
b	813	0.01254939491232403
z	704	0.010866880711286737
w	692	0.010681649790071622
k	508	0.007841442331439862
.	477	0.007362929118300815
ü	355	0.005479748085947147
S	343	0.005294517164732033
v	251	0.003874413435416152
ß	247	0.0038126697950111137
ä	243	0.0037509261546060757
E	226	0.003488515682884663
p	219	0.003380464312175846
A	186	0.0028710792788342802
R	181	0.0027938997283279824
D	178	0.0027475919980242034
V	138	0.0021301555939738205
ö	135	0.002083847863670042
K	132	0.0020375401333662634
B	125	0.0019294887626574463
M	121	0.001867745122252408
H	118	0.0018214373919486293
G	116	0.0017905655717461101
;	111	0.0017133860212398123
O	108	0.0016670782909360335
I	85	0.0013120523586070635
W	83	0.0012811805384045443
Z	82	0.0012657446283032847
F	66	0.0010187700666831317
U	59	9.107186959743147E-4
L	56	8.64410965670536E-4
T	55	8.489750555692764E-4
N	53	8.181032353667573E-4
j	52	8.026673252654977E-4
–	45	6.946159545566807E-4
:	41	6.328723141516423E-4
?	40	6.174364040503828E-4
x	24	3.704618424302297E-4
!	23	3.550259323289701E-4
P	22	3.395900222277105E-4
J	15	2.3153865151889354E-4
‹	13	2.0066683131637441E-4
Ü	9	1.3892319091133614E-4
-	7	1.08051370708817E-4
Ä	4	6.174364040503828E-5
(	2	3.087182020251914E-5
y	1	1.543591010125957E-5

//OHNE WHITESPACES UND PUNKTIERUNGEN 
Buchstabenhaeufigkeiten im Text
Titel: /home/nora/workspace/itsec/ITSicherheit/src/Aufgabe12/kafka-strafkolonie01.txt
Amount of Chars: 52553
char	total	percent
e	9165	0.17439537229083021
n	5343	0.10166879150571803
i	4194	0.07980514908758776
r	3772	0.07177516031434933
t	3045	0.0579415066694575
s	2818	0.05362205773219417
d	2704	0.05145281905885487
a	2674	0.05088196677639716
h	2455	0.046714745114455884
u	1819	0.034612676726352445
l	1649	0.03137784712575876
c	1557	0.029627233459555116
g	1453	0.02764827888036839
m	1219	0.023195631077198256
o	973	0.01851464236104504
f	959	0.01824824462923144
b	813	0.015470096854603923
z	704	0.013396000228340914
w	692	0.01316765931535783
k	508	0.009666431982950545
ü	355	0.006755085342416227
S	343	0.006526744429433144
v	251	0.004776130763229501
ß	247	0.004700017125568474
ä	243	0.004623903487907446
E	226	0.004300420527848077
p	219	0.004167221661941278
A	186	0.003539284151237798
R	181	0.003444142104161513
D	178	0.003387056875915742
V	138	0.002625920499305463
ö	135	0.0025688352710596923
K	132	0.0025117500428139213
B	125	0.002378551176907122
M	121	0.0023024375392460945
H	118	0.0022453523110003235
G	116	0.0022072954921698094
O	108	0.002055068216847754
I	85	0.001617414800296843
W	83	0.0015793579814663292
Z	82	0.0015603295720510721
F	66	0.0012558750214069607
U	59	0.0011226761555001618
L	56	0.0010655909272543908
T	55	0.0010465625178391338
N	53	0.00100850569900862
j	52	9.894772895933629E-4
x	24	4.566818259661675E-4
P	22	4.1862500713565356E-4
J	15	2.854261412288547E-4
Ü	9	1.7125568473731282E-4
Ä	4	7.611363766102791E-5
C	2	3.8056818830513955E-5
y	1	1.9028409415256978E-5




//NUR KLEINBUCHSTABEN
Buchstabenhaeufigkeiten im Text
Titel: /home/nora/workspace/itsec/ITSicherheit/src/Aufgabe12/kafka-strafkolonie01.txt
Amount of Chars: 52579
char	total	percent
e	9391	0.17860742882139258
n	5396	0.10262652389737348
i	4279	0.0813823009186177
r	3953	0.07518210692481789
s	3161	0.06011905893988094
t	3100	0.0589588999410411
d	2882	0.054812757945187245
a	2860	0.05439433994560566
h	2573	0.048935886951064114
u	1878	0.035717681964282315
l	1705	0.032427394967572604
g	1569	0.029840810970159188
c	1559	0.02965062097034938
m	1340	0.02548545997451454
o	1081	0.02055953897944046
f	1025	0.019494474980505525
b	938	0.01783982198216018
z	786	0.014948933985051066
w	775	0.014739724985260275
k	640	0.01217215998782784
v	389	0.007398390992601609
ü	364	0.006922915993077084
ß	247	0.004697692995302307
p	241	0.004583578995416421
ö	137	0.002605602997394397
j	67	0.001274272998725727
x	24	4.56455999543544E-4
y	1	1.9018999980981E-5



